Image1,Image2,dx (um),dy (um),dt (minutes),vx (nm/min),vy (nm/min),v (nm/min),bearing (deg)
Deflection 1, Deflection 2, 0, 0.00668896321070234, 12.6239512833333, 0, 0.529862882117851, 0.529862882117851, 90
Deflection 2, Deflection 3, 0, 0.00668896321070234, 12.6213313066667, 0, 0.529972872764158, 0.529972872764158, 90
Deflection 3, Deflection 4, 0, 0, 12.6234152966667, 0, 0, 0, 0
Deflection 4, Deflection 5, 0, -0.00668896321070234, 12.624406805, 0, -0.529843763277109, 0.529843763277109, -90
Deflection 5, Deflection 6, 0.00668896321070234, -0.0133779264214047, 12.633077435, 0.529480108478599, -1.0589602169572, 1.18395351529211, -63.434948822922
Deflection 6, Deflection 7, 0.00668896321070234, -0.020066889632107, 12.62568611, 0.529790076549142, -1.58937022964743, 1.67534332365025, -71.565051177078
Deflection 7, Deflection 8, 0.0133779264214047, -0.020066889632107, 12.63492818, 1.0588051020805, -1.58820765312075, 1.90878804313706, -56.3099324740202
Deflection 8, Deflection 9, 0.0133779264214047, -0.0267558528428094, 12.6325294816667, 1.05900615081246, -2.11801230162491, 2.36800974180704, -63.434948822922
Deflection 9, Deflection 10, 0.0133779264214047, -0.0267558528428094, 12.63303777, 1.05896354186272, -2.11792708372543, 2.36791446529898, -63.434948822922
Deflection 10, Deflection 11, 0.020066889632107, -0.020066889632107, 12.6367958416667, 1.58797292316312, -1.58797292316312, 2.24573284461854, -45
Deflection 11, Deflection 12, 0.020066889632107, -0.0267558528428094, 12.633629535, 1.58837090928731, -2.11782787904975, 2.64728484881219, -53.130102354156
Deflection 12, Deflection 13, 0.020066889632107, -0.020066889632107, 12.6385372666667, 1.58775412128049, -1.58775412128049, 2.24542341202864, -45
Deflection 13, Deflection 14, 0.020066889632107, -0.020066889632107, 12.6402537166667, 1.58753851638659, -1.58753851638659, 2.24511850066357, -45
Deflection 14, Deflection 15, 0.020066889632107, -0.020066889632107, 12.6451315066667, 1.58692613212662, -1.58692613212662, 2.24425245853775, -45
Deflection 15, Deflection 16, 0.020066889632107, -0.020066889632107, 12.6459729616667, 1.58682053907083, -1.58682053907083, 2.24410312740615, -45
Deflection 16, Deflection 17, 0.020066889632107, -0.020066889632107, 12.6507703333333, 1.58621879169153, -1.58621879169153, 2.24325212810122, -45
Deflection 17, Deflection 18, 0.020066889632107, -0.020066889632107, 12.653652775, 1.58585745862677, -1.58585745862677, 2.2427411259805, -45
Deflection 18, Deflection 19, 0.020066889632107, -0.020066889632107, 12.6542328733333, 1.58578475937444, -1.58578475937444, 2.24263831371189, -45
Deflection 19, Deflection 20, 0.020066889632107, -0.0267558528428094, 12.6571195466667, 1.58542309394492, -2.11389745859323, 2.64237182324154, -53.130102354156
Deflection 20, Deflection 21, 0.020066889632107, -0.020066889632107, 12.6579581016667, 1.5853180640142, -1.5853180640142, 2.24197830680394, -45
Deflection 21, Deflection 22, 0.020066889632107, -0.020066889632107, 12.66380908, 1.58458560969612, -1.58458560969612, 2.24094245997349, -45
Deflection 22, Deflection 23, 0.020066889632107, -0.0133779264214047, 12.66963862, 1.58385651193159, -1.05590434128773, 1.90355862224897, -33.6900675259798
Deflection 23, Deflection 24, 0.020066889632107, -0.0133779264214047, 12.671077905, 1.58367660451276, -1.0557844030085, 1.90334240044115, -33.6900675259798
Deflection 24, Deflection 25, 0.020066889632107, -0.020066889632107, 12.6736236033333, 1.58335849794601, -1.58335849794601, 2.23920706189395, -45
Deflection 25, Deflection 26, 0.0133779264214047, -0.0267558528428094, 12.66915449, 1.05594469086032, -2.11188938172064, 2.36116410924368, -63.434948822922
Deflection 26, Deflection 27, 0.00668896321070234, -0.020066889632107, 12.673512155, 0.52779080722808, -1.58337242168424, 1.66902107893959, -71.565051177078
Deflection 27, Deflection 28, 0, 0, 12.6724375966667, 0, 0, 0, 0
Deflection 28, Deflection 29, -0.0133779264214047, 0.0267558528428094, 12.6755260533333, -1.0554139027537, 2.11082780550739, 2.35997723095562, 116.565051177078
Deflection 29, Deflection 30, -0.0267558528428094, 0.040133779264214, 12.6793361516667, -2.11019350877391, 3.16529026316086, 3.8042054485178, 123.69006752598
Deflection 30, Deflection 31, 0.0133779264214047, 0.0602006688963211, 12.6805373766667, 1.05499680526326, 4.74748562368467, 4.86329497421329, 77.4711922908485
Deflection 31, Deflection 32, 0, 0.0602006688963211, 12.6808669116667, 0, 4.74736225178226, 4.74736225178226, 90
Deflection 32, Deflection 33, -0.0133779264214047, 0.0668896321070234, 12.6865904233333, -1.05449344347082, 5.27246721735409, 5.37688264521336, 101.30993247402
Deflection 33, Deflection 34, -0.020066889632107, 0.0668896321070234, 12.6875440383333, -1.58162127922301, 5.27207093074336, 5.5042036453678, 106.699244233994
Deflection 34, Deflection 35, -0.0267558528428094, 0.0735785953177257, 12.6852945833333, -2.10920232612987, 5.80030639685715, 6.17189506958549, 109.9831065219
Deflection 35, Deflection 36, -0.0267558528428094, 0.0735785953177257, 12.693463395, -2.10784496005626, 5.79657364015471, 6.16792317894533, 109.9831065219
Deflection 36, Deflection 37, -0.0334448160535117, 0.0802675585284281, 12.69524726, -2.63443597186871, 6.32264633248491, 6.84953352685865, 112.61986494804
Deflection 37, Deflection 38, -0.0334448160535117, 0.0668896321070234, 12.6983415933333, -2.63379401220946, 5.26758802441893, 5.88934245003227, 116.565051177078
