Image1,Image2,dx (um),dy (um),dt (minutes),vx (nm/min),vy (nm/min),v (nm/min),bearing (deg)
Height 1, Height 2, 0, 0.00668896321070234, 12.6239512833333, 0, 0.529862882117851, 0.529862882117851, 90
Height 2, Height 3, 0, 0.00668896321070234, 12.6213313066667, 0, 0.529972872764158, 0.529972872764158, 90
Height 3, Height 4, 0, 0, 12.6234152966667, 0, 0, 0, 0
Height 4, Height 5, 0, -0.00668896321070234, 12.624406805, 0, -0.529843763277109, 0.529843763277109, -90
Height 5, Height 6, 0, -0.0133779264214047, 12.633077435, 0, -1.0589602169572, 1.0589602169572, -90
Height 6, Height 7, 0.00668896321070234, -0.0133779264214047, 12.62568611, 0.529790076549142, -1.05958015309828, 1.1846466249687, -63.434948822922
Height 7, Height 8, 0.00668896321070234, -0.020066889632107, 12.63492818, 0.52940255104025, -1.58820765312075, 1.67411786039073, -71.565051177078
Height 8, Height 9, 0.0133779264214047, -0.020066889632107, 12.6325294816667, 1.05900615081246, -1.58850922621868, 1.90915048889303, -56.3099324740202
Height 9, Height 10, 0.0133779264214047, -0.0267558528428094, 12.63303777, 1.05896354186272, -2.11792708372543, 2.36791446529898, -63.434948822922
Height 10, Height 11, 0.020066889632107, -0.020066889632107, 12.6367958416667, 1.58797292316312, -1.58797292316312, 2.24573284461854, -45
Height 11, Height 12, 0.0133779264214047, -0.020066889632107, 12.633629535, 1.05891393952488, -1.58837090928731, 1.90898425263026, -56.3099324740202
Height 12, Height 13, 0.020066889632107, -0.020066889632107, 12.6385372666667, 1.58775412128049, -1.58775412128049, 2.24542341202864, -45
Height 13, Height 14, 0.020066889632107, -0.020066889632107, 12.6402537166667, 1.58753851638659, -1.58753851638659, 2.24511850066357, -45
Height 14, Height 15, 0.020066889632107, -0.020066889632107, 12.6451315066667, 1.58692613212662, -1.58692613212662, 2.24425245853775, -45
Height 15, Height 16, 0.020066889632107, -0.020066889632107, 12.6459729616667, 1.58682053907083, -1.58682053907083, 2.24410312740615, -45
Height 16, Height 17, 0.020066889632107, -0.020066889632107, 12.6507703333333, 1.58621879169153, -1.58621879169153, 2.24325212810122, -45
Height 17, Height 18, 0.020066889632107, -0.020066889632107, 12.653652775, 1.58585745862677, -1.58585745862677, 2.2427411259805, -45
Height 18, Height 19, 0.020066889632107, -0.020066889632107, 12.6542328733333, 1.58578475937444, -1.58578475937444, 2.24263831371189, -45
Height 19, Height 20, 0.020066889632107, -0.020066889632107, 12.6571195466667, 1.58542309394492, -1.58542309394492, 2.24212684155642, -45
Height 20, Height 21, 0.020066889632107, -0.020066889632107, 12.6579581016667, 1.5853180640142, -1.5853180640142, 2.24197830680394, -45
Height 21, Height 22, 0.020066889632107, -0.0133779264214047, 12.66380908, 1.58458560969612, -1.05639040646408, 1.90443488870724, -33.6900675259798
Height 22, Height 23, 0.020066889632107, -0.0133779264214047, 12.66963862, 1.58385651193159, -1.05590434128773, 1.90355862224897, -33.6900675259798
