Time,Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
1/19/2022 9:14:19,"488","21,2","29","1019"
1/19/2022 9:19:19,"477","21,2","29","1020"
1/19/2022 9:24:19,"483","21,2","29","1020"
1/19/2022 9:29:19,"500","21,2","29","1019"
1/19/2022 9:34:19,"500","21,1","29","1020"
1/19/2022 9:39:19,"502","21,1","29","1020"
1/19/2022 9:44:19,"507","21,2","29","1019"
1/19/2022 9:49:19,"574","21,1","29","1019"
1/19/2022 9:54:19,"607","21,1","29","1019"
1/19/2022 9:59:19,"577","21,2","29","1019"
1/19/2022 10:04:19,"561","21,1","29","1019"
1/19/2022 10:09:19,"542","21,2","29","1019"
1/19/2022 10:14:19,"608","21,2","30","1019"
1/19/2022 10:19:19,"671","21,2","29","1019"
1/19/2022 10:24:19,"656","21,3","30","1019"
1/19/2022 10:29:19,"628","21,3","30","1019"
1/19/2022 10:34:19,"667","21,3","30","1019"
1/19/2022 10:39:19,"663","21,4","30","1019"
1/19/2022 10:44:19,"703","21,4","30","1019"
1/19/2022 10:49:19,"745","21,6","30","1019"
1/19/2022 10:54:19,"739","21,6","30","1019"
1/19/2022 10:59:19,"709","21,6","30","1019"
1/19/2022 11:04:19,"707","21,7","30","1019"
1/19/2022 11:09:19,"692","21,7","30","1019"
1/19/2022 11:14:19,"673","21,7","30","1019"
1/19/2022 11:19:19,"653","21,8","30","1019"
1/19/2022 11:24:19,"652","21,8","30","1018"
1/19/2022 11:29:19,"648","21,8","30","1018"
1/19/2022 11:34:19,"681","21,9","30","1018"
1/19/2022 11:39:19,"766","22,0","30","1018"
1/19/2022 11:44:19,"759","22,0","30","1018"
1/19/2022 11:49:19,"782","22,1","30","1018"
1/19/2022 11:54:19,"753","22,1","30","1018"
1/19/2022 11:59:19,"706","22,1","30","1018"
1/19/2022 12:04:19,"753","22,2","30","1018"
1/19/2022 12:09:19,"827","22,2","30","1018"
1/19/2022 12:14:19,"792","22,2","30","1018"
1/19/2022 12:19:19,"742","22,3","30","1018"
1/19/2022 12:24:19,"687","22,4","30","1018"
1/19/2022 12:29:19,"685","22,4","30","1018"
1/19/2022 12:34:19,"658","22,4","30","1018"
1/19/2022 12:39:19,"629","22,4","29","1018"
1/19/2022 12:44:19,"600","22,4","29","1017"
1/19/2022 12:49:19,"581","22,4","29","1017"
1/19/2022 12:54:19,"570","22,4","29","1017"
1/19/2022 12:59:19,"549","22,5","29","1017"
1/19/2022 13:04:19,"537","22,5","29","1017"
1/19/2022 13:09:19,"533","22,5","29","1017"
1/19/2022 13:14:19,"542","22,5","29","1017"
1/19/2022 13:19:19,"602","22,6","29","1017"
1/19/2022 13:24:19,"612","22,6","29","1017"
1/19/2022 13:29:19,"587","22,6","29","1017"
1/19/2022 13:34:19,"579","22,6","29","1017"
1/19/2022 13:39:19,"560","22,7","29","1017"
1/19/2022 13:44:19,"556","22,7","29","1017"
1/19/2022 13:49:19,"540","22,7","29","1017"
1/19/2022 13:54:19,"619","22,7","29","1016"
1/19/2022 13:59:19,"583","22,7","29","1016"
1/19/2022 14:04:19,"567","22,7","29","1016"
1/19/2022 14:09:19,"553","22,8","29","1016"
1/19/2022 14:14:19,"557","22,8","29","1016"
1/19/2022 14:19:19,"551","22,8","29","1016"
1/19/2022 14:24:19,"533","22,8","29","1016"
1/19/2022 14:29:19,"550","22,8","29","1016"
1/19/2022 14:34:19,"621","22,8","29","1016"
1/19/2022 14:39:19,"697","22,9","29","1016"
1/19/2022 14:44:19,"701","22,9","29","1016"
1/19/2022 14:49:19,"683","22,9","29","1016"
1/19/2022 14:54:19,"651","23,0","29","1016"
1/19/2022 14:59:19,"643","23,0","29","1015"
1/19/2022 15:04:19,"613","23,0","29","1015"
1/19/2022 15:09:19,"609","23,0","29","1015"
1/19/2022 15:14:19,"586","22,9","29","1015"
1/19/2022 15:19:19,"610","22,9","29","1015"
1/19/2022 15:24:19,"674","22,9","29","1015"
1/19/2022 15:29:19,"644","22,9","29","1015"
1/19/2022 15:34:19,"631","22,9","29","1015"
1/19/2022 15:39:19,"625","23,0","29","1015"
1/19/2022 15:44:19,"728","23,0","29","1015"
1/19/2022 15:49:19,"776","23,0","30","1015"
1/19/2022 15:54:19,"763","23,1","30","1015"
1/19/2022 15:59:19,"725","23,1","30","1015"
1/19/2022 16:04:19,"790","23,1","30","1015"
1/19/2022 16:09:19,"778","23,1","30","1015"
1/19/2022 16:14:19,"748","23,1","30","1015"
1/19/2022 16:19:19,"698","23,1","30","1015"
1/19/2022 16:24:19,"663","23,0","30","1015"
1/19/2022 16:29:19,"663","23,0","30","1015"
1/19/2022 16:34:19,"630","23,0","30","1015"
1/19/2022 16:39:19,"660","23,0","30","1015"
1/19/2022 16:44:19,"651","23,0","30","1015"
1/19/2022 16:49:19,"680","23,1","30","1015"
1/19/2022 16:54:19,"737","23,0","30","1015"
1/19/2022 16:59:19,"765","23,1","30","1015"
1/19/2022 17:04:19,"738","23,1","30","1015"
1/19/2022 17:09:19,"719","23,1","30","1015"
1/19/2022 17:14:19,"645","23,1","30","1015"
1/19/2022 17:19:19,"622","23,1","30","1015"
1/19/2022 17:24:19,"676","23,2","30","1015"
1/19/2022 17:29:19,"648","23,2","30","1015"
1/19/2022 17:34:19,"660","23,2","30","1015"
1/19/2022 17:39:19,"680","23,2","30","1015"
1/19/2022 17:44:19,"634","23,2","30","1015"
1/19/2022 17:49:19,"628","23,2","30","1015"
1/19/2022 17:54:19,"626","23,2","30","1015"
1/19/2022 17:59:19,"577","23,3","30","1015"
1/19/2022 18:04:19,"577","23,2","30","1015"
1/19/2022 18:09:19,"562","23,2","30","1015"
1/19/2022 18:14:19,"543","23,2","30","1015"
1/19/2022 18:19:19,"525","23,1","30","1015"
1/19/2022 18:24:19,"510","23,0","30","1015"
1/19/2022 18:29:19,"506","23,0","30","1015"
1/19/2022 18:34:19,"498","23,0","30","1015"
1/19/2022 18:39:19,"487","22,9","30","1015"
1/19/2022 18:44:19,"476","22,9","30","1016"
1/19/2022 18:49:19,"488","22,9","30","1016"
1/19/2022 18:54:19,"467","22,9","30","1016"
1/19/2022 18:59:19,"479","22,8","31","1016"
1/19/2022 19:04:19,"476","22,8","31","1016"
1/19/2022 19:09:19,"464","22,8","31","1016"
1/19/2022 19:14:19,"471","22,8","31","1016"
1/19/2022 19:19:19,"458","22,7","31","1016"
1/19/2022 19:24:19,"470","22,7","31","1016"
1/19/2022 19:29:19,"450","22,7","31","1016"
1/19/2022 19:34:19,"468","22,7","31","1016"
1/19/2022 19:39:19,"466","22,7","31","1016"
1/19/2022 19:44:19,"469","22,6","31","1016"
1/19/2022 19:49:19,"462","22,6","31","1016"
1/19/2022 19:54:19,"461","22,6","31","1016"
1/19/2022 19:59:19,"465","22,6","31","1016"
1/19/2022 20:04:19,"455","22,6","31","1016"
1/19/2022 20:09:19,"446","22,5","31","1016"
1/19/2022 20:14:19,"453","22,5","31","1016"
1/19/2022 20:19:19,"456","22,5","31","1016"
1/19/2022 20:24:19,"449","22,5","31","1016"
1/19/2022 20:29:19,"463","22,5","32","1017"
1/19/2022 20:34:19,"457","22,4","32","1017"
1/19/2022 20:39:19,"454","22,4","32","1017"
1/19/2022 20:44:19,"461","22,4","32","1017"
1/19/2022 20:49:19,"443","22,4","32","1017"
1/19/2022 20:54:19,"443","22,4","32","1017"
1/19/2022 20:59:19,"442","22,4","32","1017"
1/19/2022 21:04:19,"448","22,4","32","1017"
1/19/2022 21:09:19,"452","22,3","32","1017"
1/19/2022 21:14:19,"442","22,3","32","1017"
1/19/2022 21:19:19,"434","22,3","32","1017"
1/19/2022 21:24:19,"436","22,3","32","1017"
1/19/2022 21:29:19,"450","22,2","32","1017"
1/19/2022 21:34:19,"439","22,2","32","1017"
1/19/2022 21:39:19,"444","22,2","32","1017"
1/19/2022 21:44:19,"442","22,2","32","1018"
1/19/2022 21:49:19,"440","22,2","32","1018"
1/19/2022 21:54:19,"427","22,2","32","1018"
1/19/2022 21:59:19,"447","22,2","32","1018"
1/19/2022 22:04:19,"453","22,1","32","1018"
1/19/2022 22:09:19,"467","22,2","31","1018"
1/19/2022 22:14:19,"483","22,3","31","1018"
1/19/2022 22:19:19,"489","22,3","31","1018"
1/19/2022 22:24:19,"472","22,2","31","1018"
1/19/2022 22:29:19,"472","22,3","31","1018"
1/19/2022 22:34:19,"447","22,3","31","1018"
1/19/2022 22:39:19,"450","22,3","31","1018"
1/19/2022 22:44:19,"457","22,2","31","1018"
1/19/2022 22:49:19,"445","22,3","31","1018"
1/19/2022 22:54:19,"444","22,2","31","1018"
1/19/2022 22:59:19,"444","22,2","31","1018"
1/19/2022 23:04:19,"439","22,2","31","1018"
1/19/2022 23:09:19,"448","22,2","31","1018"
1/19/2022 23:14:19,"440","22,2","31","1018"
1/19/2022 23:19:19,"429","22,2","31","1019"
1/19/2022 23:24:19,"436","22,2","31","1019"
1/19/2022 23:29:19,"432","22,2","30","1019"
1/19/2022 23:34:19,"443","22,2","30","1019"
1/19/2022 23:39:19,"443","22,2","30","1019"
1/19/2022 23:44:19,"444","22,2","30","1019"
1/19/2022 23:49:19,"453","22,2","30","1019"
1/19/2022 23:54:19,"459","22,1","30","1019"
1/19/2022 23:59:19,"452","22,2","30","1019"
1/20/2022 0:04:19,"434","22,2","30","1019"
1/20/2022 0:09:19,"438","22,1","30","1019"
1/20/2022 0:14:19,"441","22,1","30","1019"
1/20/2022 0:19:19,"442","22,1","30","1019"
1/20/2022 0:24:19,"443","22,1","30","1019"
1/20/2022 0:29:19,"437","22,1","30","1019"
1/20/2022 0:34:19,"431","22,1","30","1019"
1/20/2022 0:39:19,"432","22,1","30","1019"
1/20/2022 0:44:19,"441","22,1","30","1019"
1/20/2022 0:49:19,"437","22,1","30","1019"
1/20/2022 0:54:19,"434","22,1","30","1019"
1/20/2022 0:59:19,"442","22,1","30","1019"
1/20/2022 1:04:19,"445","22,1","30","1019"
1/20/2022 1:09:19,"426","22,1","30","1019"
1/20/2022 1:14:19,"433","22,1","30","1019"
1/20/2022 1:19:19,"448","22,1","30","1019"
1/20/2022 1:24:19,"440","22,1","30","1019"
1/20/2022 1:29:19,"431","22,0","30","1019"
1/20/2022 1:34:19,"428","22,1","29","1019"
1/20/2022 1:39:19,"434","22,0","29","1019"
1/20/2022 1:44:19,"438","22,1","29","1019"
1/20/2022 1:49:19,"426","22,0","29","1019"
1/20/2022 1:54:19,"435","22,0","29","1019"
1/20/2022 1:59:19,"433","22,0","29","1019"
1/20/2022 2:04:19,"436","22,0","29","1019"
1/20/2022 2:09:19,"441","22,0","29","1019"
1/20/2022 2:14:19,"427","22,0","29","1019"
1/20/2022 2:19:19,"439","22,0","29","1019"
1/20/2022 2:24:19,"443","22,0","29","1020"
1/20/2022 2:29:19,"440","22,0","29","1020"
1/20/2022 2:34:19,"433","22,0","29","1019"
1/20/2022 2:39:19,"431","22,0","29","1020"
1/20/2022 2:44:19,"444","22,0","29","1020"
1/20/2022 2:49:19,"425","22,0","29","1020"
1/20/2022 2:54:19,"434","22,0","29","1020"
1/20/2022 2:59:19,"432","22,0","29","1020"
1/20/2022 3:04:19,"445","22,0","29","1020"
1/20/2022 3:09:19,"441","22,0","29","1020"
1/20/2022 3:14:19,"437","22,0","29","1020"
1/20/2022 3:19:19,"432","22,0","29","1020"
1/20/2022 3:24:19,"437","22,0","29","1020"
1/20/2022 3:29:19,"435","22,0","29","1020"
1/20/2022 3:34:19,"430","22,0","29","1020"
1/20/2022 3:39:19,"438","21,9","29","1020"
1/20/2022 3:44:19,"431","22,0","29","1020"
1/20/2022 3:49:19,"435","22,0","29","1020"
1/20/2022 3:54:19,"426","21,9","29","1020"
1/20/2022 3:59:19,"428","22,0","29","1020"
1/20/2022 4:04:19,"434","22,0","29","1020"
1/20/2022 4:09:19,"439","22,0","29","1020"
1/20/2022 4:14:19,"430","22,0","29","1020"
1/20/2022 4:19:19,"439","22,0","29","1019"
1/20/2022 4:24:19,"438","21,9","29","1020"
1/20/2022 4:29:19,"433","22,0","29","1020"
1/20/2022 4:34:19,"438","22,0","29","1020"
1/20/2022 4:39:19,"447","21,9","29","1020"
1/20/2022 4:44:19,"450","21,9","29","1020"
1/20/2022 4:49:19,"446","21,9","29","1020"
1/20/2022 4:54:19,"461","21,9","29","1020"
1/20/2022 4:59:19,"446","21,9","29","1020"
1/20/2022 5:04:19,"443","21,9","29","1020"
1/20/2022 5:09:19,"434","21,9","29","1020"
1/20/2022 5:14:19,"438","21,9","29","1020"
1/20/2022 5:19:19,"429","21,9","29","1020"
1/20/2022 5:24:19,"419","21,9","29","1020"
1/20/2022 5:29:19,"419","21,9","29","1020"
1/20/2022 5:34:19,"432","21,9","29","1020"
1/20/2022 5:39:19,"432","21,9","29","1020"
1/20/2022 5:44:19,"437","21,9","29","1020"
1/20/2022 5:49:19,"431","21,9","29","1020"
1/20/2022 5:54:19,"435","21,8","29","1020"
1/20/2022 5:59:19,"434","21,8","29","1020"
1/20/2022 6:04:19,"438","21,7","29","1020"
1/20/2022 6:09:19,"429","21,7","29","1020"
1/20/2022 6:14:19,"436","21,7","29","1020"
1/20/2022 6:19:19,"431","21,7","29","1020"
1/20/2022 6:24:19,"430","21,7","29","1020"
1/20/2022 6:29:19,"431","21,7","29","1020"
1/20/2022 6:34:19,"432","21,7","29","1020"
1/20/2022 6:39:19,"432","21,7","29","1020"
1/20/2022 6:44:19,"431","21,7","29","1020"
1/20/2022 6:49:19,"430","21,7","29","1020"
1/20/2022 6:54:19,"424","21,7","29","1020"
1/20/2022 6:59:19,"447","21,7","29","1020"
1/20/2022 7:04:19,"456","21,7","29","1020"
1/20/2022 7:09:19,"450","21,7","29","1020"
1/20/2022 7:14:19,"434","21,7","29","1020"
1/20/2022 7:19:19,"451","21,7","29","1020"
1/20/2022 7:24:19,"452","21,7","29","1020"
1/20/2022 7:29:19,"456","21,7","29","1021"
1/20/2022 7:34:19,"437","21,7","29","1021"
1/20/2022 7:39:19,"450","21,7","29","1021"
1/20/2022 7:44:19,"451","21,7","29","1021"
1/20/2022 7:49:19,"446","21,6","29","1021"
1/20/2022 7:54:19,"443","21,7","29","1021"
1/20/2022 7:59:19,"455","21,6","29","1021"
1/20/2022 8:04:19,"469","21,7","29","1021"
1/20/2022 8:09:19,"476","21,7","30","1021"
1/20/2022 8:14:19,"569","21,7","30","1021"
1/20/2022 8:19:19,"628","21,7","30","1021"
1/20/2022 8:24:19,"593","21,7","30","1022"
1/20/2022 8:29:19,"553","21,7","30","1022"
1/20/2022 8:34:19,"509","21,8","30","1022"
1/20/2022 8:39:19,"489","21,8","30","1022"
1/20/2022 8:44:19,"514","21,8","30","1022"
1/20/2022 8:49:19,"511","21,8","30","1022"
1/20/2022 8:54:19,"567","21,9","30","1022"
1/20/2022 8:59:19,"618","21,9","30","1022"
1/20/2022 9:04:19,"604","21,9","30","1022"
1/20/2022 9:09:19,"692","22,0","30","1022"
1/20/2022 9:14:19,"712","22,0","30","1022"
1/20/2022 9:19:19,"741","22,1","30","1022"
1/20/2022 9:24:19,"750","22,1","30","1022"
1/20/2022 9:29:19,"716","22,1","30","1022"
1/20/2022 9:34:19,"648","22,1","30","1022"
