Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
24/11/2023 10:36:06,"616","","",""
24/11/2023 10:41:06,"610","","",""
24/11/2023 10:46:06,"628","","",""
24/11/2023 10:51:06,"638","","",""
24/11/2023 10:56:06,"637","","",""
24/11/2023 11:01:06,"655","","",""
24/11/2023 11:06:06,"724","","",""
24/11/2023 11:11:06,"861","","",""
24/11/2023 11:16:06,"794","","",""
24/11/2023 11:21:06,"734","","",""
24/11/2023 11:26:06,"718","","",""
24/11/2023 11:31:06,"731","","",""
24/11/2023 11:36:06,"750","","",""
24/11/2023 11:41:06,"716","","",""
24/11/2023 11:46:06,"737","","",""
24/11/2023 11:51:06,"678","","",""
24/11/2023 11:56:06,"647","","",""
24/11/2023 12:01:06,"613","","",""
24/11/2023 12:06:06,"584","","",""
24/11/2023 12:11:06,"578","","",""
24/11/2023 12:16:06,"590","","",""
24/11/2023 12:21:06,"584","","",""
24/11/2023 12:26:06,"583","","",""
24/11/2023 12:31:06,"582","","",""
24/11/2023 12:36:06,"618","","",""
24/11/2023 12:41:06,"616","","",""
24/11/2023 12:46:06,"655","","",""
24/11/2023 12:51:06,"691","","",""
24/11/2023 12:56:06,"711","","",""
24/11/2023 13:01:06,"689","","",""
24/11/2023 13:06:06,"726","","",""
24/11/2023 13:11:06,"705","","",""
24/11/2023 13:16:06,"697","","",""
24/11/2023 13:21:06,"701","","",""
24/11/2023 13:26:06,"720","","",""
24/11/2023 13:31:06,"726","","",""
24/11/2023 13:36:06,"710","","",""
24/11/2023 13:41:06,"672","","",""
24/11/2023 13:46:06,"672","","",""
24/11/2023 13:51:06,"673","","",""
24/11/2023 13:56:06,"693","","",""
24/11/2023 14:01:06,"717","","",""
24/11/2023 14:06:06,"707","","",""
24/11/2023 14:11:06,"691","","",""
24/11/2023 14:16:06,"719","","",""
24/11/2023 14:21:06,"732","","",""
24/11/2023 14:26:06,"731","","",""
24/11/2023 14:31:06,"740","","",""
24/11/2023 14:36:06,"733","","",""
24/11/2023 14:41:06,"730","","",""
24/11/2023 14:46:06,"771","","",""
24/11/2023 14:51:06,"759","","",""
24/11/2023 14:56:06,"739","","",""
24/11/2023 15:01:06,"741","","",""
24/11/2023 15:06:06,"732","","",""
24/11/2023 15:11:06,"687","","",""
24/11/2023 15:16:06,"714","","",""
24/11/2023 15:21:06,"662","","",""
24/11/2023 15:26:06,"642","","",""
24/11/2023 15:31:06,"631","","",""
24/11/2023 15:36:06,"606","","",""
24/11/2023 15:41:06,"583","","",""
24/11/2023 15:46:06,"581","","",""
24/11/2023 15:51:06,"594","","",""
24/11/2023 15:56:06,"589","","",""
24/11/2023 16:01:06,"596","","",""
24/11/2023 16:06:06,"617","","",""
24/11/2023 16:11:06,"589","","",""
24/11/2023 16:16:06,"607","","",""
24/11/2023 16:21:06,"612","","",""
24/11/2023 16:26:06,"594","","",""
24/11/2023 16:31:06,"591","","",""
24/11/2023 16:36:06,"561","","",""
24/11/2023 16:41:06,"559","","",""
24/11/2023 16:46:06,"557","","",""
24/11/2023 16:51:06,"537","","",""
24/11/2023 16:56:06,"552","","",""
