path,condition,date,feature,spectrum_label
p33/p33 20211112.axz,p33,2021-11-12,ib,inclusion p33 200x IR4
p33/p33 20211112.axz,p33,2021-11-12,ib,inclusion p33 200x IR 4 2 spot
p33/p33 20211112.axz,p33,2021-11-12,ib,imclusion p33 200x IR4 1 spot 
p33/p33 20211112.axz,p33,2021-11-12,ib,inclusion p33 100x IR4 spot 3
p33/p33 20211112.axz,p33,2021-11-12,cp,cytoplasm p33
p33/p33 20211112.axz,p33,2021-11-12,cp,cytoplasm p33 (1)
p33/p33 20211112.axz,p33,2021-11-12,cp,cytoplasm p33 (2)
p33/p33 20211112.axz,p33,2021-11-12,cp,cytoplasm p33 (3)
p33/p33 20211112.axz,p33,2021-11-12,cp,cytoplasm p33 (3)
p33/p33 20211112.axz,p33,2021-11-12,cp,cytoplasm p33 100x IR4 2 spot
p33/p33 20211112.axz,p33,2021-11-12,cp,cytoplasm p33 (4)
p33/p33 20211112.axz,p33,2021-11-12,bg,background
p33/p33 20211112.axz,p33,2021-11-12,ib,bacterial inclusion p33
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 2
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 3
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 1 fig 2
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 2 fig 2
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 3 fig 2
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 1 fig 3
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 2 fig 3
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 1 fig 4
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,ib,inclo 2 fig 4
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,cp,cyto
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,cp,cyto 1 fig 2
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,cp,cyto fig 3
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,cp,cyto fig 4
H2O2/H2O2 20220125.axz,H₂O₂,2022-01-25,bg,back fig 3
